"id","source","line","method","uri","route_name","middleware_auth","actor","handler","view_response","related_views","reads","writes","state_transitions","mail_export_document_effects","classification","confidence","notes"
"W041","routes/web.php","391","POST","/course/v2/apply/{apply_token}/pdpa","apply.v2.pdpa.store","web; nested web; guided.flow; auth outside local; CSRF globally exempt","authenticated pre-invitation applicant","ApplyController@pdpaV2Store","redirect back to PDPA completed","none","apply_course/Apply","apply_course.status; step; applied_date; updated_date","draft|applying|applicant_pending to applied; step to applied","none","guided_mutation_completion","high","Consent checkbox not versioned or separately persisted"
"W042","routes/web.php","396","GET","/member/info/{action?}","","web; nested web; auth","authenticated applicant","MemberController@index","Blade member.index","layouts.layout; public includes","users; contact; prefixes; provinces; amphoes; tambons; countries; languages; education_level; trainee_type; apply_course; course; course_type; teacher; training history through services","none","none","course/application links and status display","route_page_member","high","Tabs include profile courses training history and password"
"W043","routes/web.php","397","POST","/member/update-profile","","web; nested web; auth; CSRF globally exempt","authenticated applicant","MemberController@update","JSON","none","users; contact","users; contact","none","none","member_mutation","high","Broad profile fields with little explicit server validation"
"W044","routes/web.php","398","POST","/member/change-password","","web; nested web; auth; CSRF globally exempt","authenticated applicant","closure","JSON 200 or custom 599","none","users/Auth","users.password","password replaced if current hash matches","none","member_auth_mutation","high","Response includes request all including plaintext current and new password"
"W045","routes/web.php","431","GET","/course/apply-training-detail/{apply_token}","apply.training_detail","web; nested web; auth","authenticated applicant","ApplyController@training_detail","Blade apply.course-history","layouts.layout; public includes","apply_course/Apply; course; course_type; question/group/choice/answer; training_history_info; center; custom_period_times; contact","none","none","none","route_page_legacy","high","Configured legacy redirect enters here; profile page action ApplyController@user_detail has no route"
"W046","routes/web.php","433","POST","/course/save-apply","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted IDs are trusted","SaveController@apply_user_detail","JSON","none","apply_course; users; contact; apply_course_manager","apply_course; users; contact; apply_course_manager","client-supplied status/step may be stored","none","legacy_mutation","high","Ownership/integrity risk"
"W047","routes/web.php","434","POST","/course/save-apply-course-history","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted IDs are trusted","SaveController@apply_course_history","JSON","none","apply_course; question_apply_course; training_history_info; contact","apply_course; question_apply_course; training_history_info; contact","draft to applying; step training_history_info","none","legacy_mutation","high","Shared history overwritten by application flow"
"W048","routes/web.php","435","GET","/course/apply-question/{apply_token}","","web; nested web; auth","authenticated application owner","ApplyController@question","Blade apply.question","layouts.layout; public includes","apply_course/Apply; contact; course; question/group/choice/answer tables","none","none","none","route_page_legacy","high","Uses group 5 trainee or 6 staff"
"W049","routes/web.php","436","POST","/course/save-apply-question","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted IDs are trusted","SaveController@apply_question","JSON","none","apply_course; question_apply_course; question_choices","apply_course; question_apply_course","client-supplied apply_status and step may be stored","none","legacy_mutation","high","No strong ownership binding"
"W050","routes/web.php","437","GET","/course/apply-agreement/{apply_token}","","web; nested web; auth","authenticated applicant","ApplyController@agreement","Blade apply.agreement","layouts.layout; public includes","none beyond token display","none","none","privacy document link through view","route_page_legacy","high","Controller does not resolve/authorize token"
"W051","routes/web.php","438","POST","/course/save-apply-agreement","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted apply ID is trusted","SaveController@apply_agreement","JSON callback URL","message.message indirectly","apply_course","apply_course.status; step; applied_date","to applied; step applied","none","legacy_mutation_completion","high","No versioned consent record"
"W052","routes/web.php","442","GET","/accept/user-detail/{apply_token}","","web; nested web; auth","authenticated invited applicant","AcceptController@user_detail","Blade accept.user-detail","layouts.layout; course.course-info; components.accept.update-reminder","apply_course/Apply; users; contact; course; course_type; center; geography; reference masters; manager via services","none","none","course attachment","route_page_legacy_accept","high","Performs ownership checks"
"W053","routes/web.php","443","GET","/accept/training-detail/{apply_token}","","web; nested web; auth","authenticated invited alumni","AcceptController@training_detail","Blade accept.course-history","layouts.layout; components.accept.update-reminder","apply_course/Apply; course; questions/answers; training_history_info; center; custom periods","none","none","none","route_page_legacy_accept","high","Some JavaScript retains legacy course save URL"
"W054","routes/web.php","444","GET","/accept/question/{apply_token}","","web; nested web; auth","authenticated invited applicant","AcceptController@question","Blade accept.question","layouts.layout; components.accept.update-reminder","apply_course/Apply; contact; course; question/group/choice/answer","none","none","none","route_page_legacy_accept","high","Form action attribute is stale but AJAX uses accept/save-question"
"W055","routes/web.php","445","GET","/accept/more-info/{apply_token}","","web; nested web; auth","authenticated invited applicant","AcceptController@more_information","Blade accept.more-info","layouts.layout; components.accept.update-reminder","apply_course; question/group/choice/answer","none","none","none","route_page_legacy_accept","high","Contains stale AJAX reference /accept/save-apply-question"
"W056","routes/web.php","446","GET","/accept/consent-form/{apply_token}","","web; nested web; auth","authenticated invited applicant","AcceptController@consent_form","Blade accept.consent-form","layouts.layout; components.accept.update-reminder","apply_course; course; users; question/group/choice/answer","none","none","privacy/consent content","route_page_legacy_accept","high","Applicant can confirm or decline"
"W057","routes/web.php","447","GET","/accept/done","","web; nested web; auth","authenticated applicant","AcceptController@done","runtime method-not-found error","none","unknown","unknown","unknown","unknown","route_gap","high","AcceptController has no done method"
"W058","routes/web.php","448","POST","/accept/save-accept","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted apply ID is trusted","SaveAcceptController@user_detail","JSON","none","apply_course; users; contact; apply_course_manager","apply_course; users; contact; apply_course_manager","client-supplied step/status may change","none","legacy_accept_mutation","high","Ownership/integrity risk"
"W059","routes/web.php","449","POST","/accept/save-course-history","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted apply ID is trusted","SaveAcceptController@course_history","JSON","none","apply_course; question_apply_course; training_history_info; contact","apply_course; question_apply_course; training_history_info; contact","client-supplied status/step","none","legacy_accept_mutation","high","Updates shared training history"
"W060","routes/web.php","450","POST","/accept/save-question","","web; nested web; auth; CSRF globally exempt","authenticated applicant but submitted apply ID is trusted","SaveAcceptController@question","JSON","none","apply_course; question_apply_course; question_choices","apply_course; question_apply_course","client-supplied apply_status/step","none","legacy_accept_mutation","high","Dynamic answers"
"W061","routes/web.php","451","POST","/accept/save-more-info","","web; nested web; auth; CSRF globally exempt","authenticated invited applicant","SaveAcceptController@user_more_info","JSON","none","question_apply_course; apply_course; invite_accept","question_apply_course; apply_course; invite_accept","may write rejected invitation metadata; step change","none","legacy_accept_mutation","high","View also contains nonexistent alternate endpoint reference"
"W062","routes/web.php","452","POST","/accept/save-consent-form","","web; nested web; auth; CSRF globally exempt","authenticated invited applicant","SaveAcceptController@course_consent","JSON","mail.accept-d03; mail.accept-d10; mail.accept-staff through EmailServices","apply_course/Apply; question_apply_course; users/contact; course","question_apply_course; apply_course.status/confirmed_date; invite_accept through services","applicant decline to rejected; accepted request to confirmed","sends trainee/staff confirmation email on accepted path","legacy_accept_completion","high","Legacy rejected conflates applicant decline with reviewer rejection"
"W063","routes/web.php","459","GET","/backend/","","web; nested web; backend.auth","administrator","AdminController@index","Blade backend.blank","backend.layouts.layout; backend includes","none","none","none","none","route_page_admin_placeholder","high","Blank dashboard"
"W064","routes/web.php","460","GET","/backend/approve","","web; nested web; backend.auth","administrator/reviewer","BackendApproveController@index","Blade backend.approve.index","backend.layouts.layout; backend includes","course; center; course_type; tutor_type","none","none","none","route_page_admin","high","Filters course/type/tutor/open state; raw month expression exists"
"W065","routes/web.php","461","GET","/backend/approve-course/{course_code}/{apply_type?}","","web; nested web; backend.auth","administrator/reviewer","BackendApproveController@course","Blade backend.approve.course or backend.approve.course-staff","backend layouts/includes","course; center; course_type; tutor_type; apply_course; users; contact; trainee_type; training_history_info; question_apply_course; question_choices","none","none","none","route_page_admin","high","Staff view merges P1 staff applicants and P2 volunteers"
"W066","routes/web.php","462","GET","/backend/approve-applicant/{course_code}/{uid}/{apply_id}/{approve_type}","","web; nested web; backend.auth","administrator/reviewer","BackendApproveController@applicant","Blade backend.approve.applicant","backend.layouts.layout; backend includes","apply_course; users/contact through ApplyServices; custom_period_times; training_history_info; apply_course_manager; question_apply_course; question_choices; center; teacher; course","none","none","none","route_page_admin","high","Displays PII health answers related/current/history courses and manager/history"
"W067","routes/web.php","464","POST","/backend/approve/save","","web; nested web; backend.auth; CSRF globally exempt","administrator/reviewer","BackendApproveController@store","JSON","mail.invite; mail.invite-staff through EmailServices","apply_course; invite_accept; course; users/contact","apply_course; invite_accept","requested approved to invited; rejected to rejected; canceled generally canceled and prior approved to left","sends invitation email and links when invited","admin_mutation","high","No transaction; token contains apply_id/approve_type"
"W068","routes/web.php","465","GET","/backend/course","","web; nested web; backend.auth","administrator/course manager","BackendCourseController@index","Blade backend.course.index","backend.layouts.layout; backend includes","course; center; course_type; tutor_type","none","none","none","route_page_admin","high","Year/month controls are incomplete placeholders"
"W069","routes/web.php","466","GET","/backend/course/manage/{course_code}","","web; nested web; backend.auth","administrator/course manager","BackendCourseController@manage","Blade backend.course.manage","backend.layouts.layout; backend includes","course; center; course_type; tutor_type; apply_course; users; contact; prefixes; trainee_type","none","none","none","route_page_admin","high","Visible counters/open state include hardcoded placeholder values"
"W070","routes/web.php","467","POST","/backend/course/update-apply-status","","web; nested web; backend.auth; CSRF globally exempt","administrator/course manager","BackendCourseController@update_course_apply_status","JSON","none","course","course.men_apply_status; women_apply_status; updated_at","registration category open/close flags change","none","admin_mutation","high","Name resembles application status route W073 but changes course flags"
"W071","routes/web.php","468","GET","/backend/course/laundry/{course_code}/{gender?}","","web; nested web; backend.auth","administrator/operations","BackendCourseController@laundry","Blade backend.course.laundry","backend.layouts.layout; backend includes","course; center; course_type; apply_course; users; contact; prefixes","none","none","links W072 workbook","route_page_admin_report","high","Gender-separated roster; invited included in UI set"
"W072","routes/web.php","469","GET","/backend/export/laundry/{course_code}/{gender?}","","web; nested web; backend.auth","administrator/report user","BackendExportController@laundry","streamed XLSX","none","course; center; course_type; apply_course; users; contact; prefixes","none","none","PHPExcel workbook with room day01-08 cost purchase total blank columns","export","high","Export excludes invited unlike W071"
"W073","routes/web.php","470","POST","/backend/update-apply-status","","web; nested web; backend.auth; CSRF globally exempt","administrator/course manager","BackendCourseController@update_apply_status","JSON","none","apply_course; contact","apply_course.status; updated_date; contact alumni flags","arbitrary requested status for arbitrary IDs; finalize marks person alumni","none","admin_bulk_mutation","high","No whitelist course scoping transaction or per-record result"
"W074","routes/web.php","471","POST","/backend/request-confirm","","web; nested web; backend.auth; CSRF globally exempt","administrator/course manager","BackendCourseController@request_confirm","JSON","mail.request-confirm","apply_course; users; contact; course; center; course_type; tutor_type","none","none","sends confirmation-request email with confirm/cancel links and training-intro.pdf","admin_mail_mutation","high","Does not persist is_request_confirm in this controller"
"W075","routes/web.php","472","POST","/backend/course/update-checkin-password","","web; nested web; backend.auth; CSRF globally exempt","administrator/course manager","BackendCourseController@update_checkin_password","JSON","none","course","course.checkin_password; updated_at","none","none","admin_security_mutation","high","Blank clears; nonblank Hash::make"
"W076","routes/web.php","474","GET","/backend/user","","web; nested web; backend.auth","administrator","BackendUserController@index","Blade backend.user.index","backend.layouts.layout; backend includes","users backend/admin rows","none","none","none","route_page_admin","high","Admin account list"
"W077","routes/web.php","475","GET","/backend/user/add","","web; nested web; backend.auth","administrator","BackendUserController@formAdd","Blade backend.user.form","backend.layouts.layout; backend includes","none","none","none","none","route_page_admin","high","Create mode"
"W078","routes/web.php","476","POST","/backend/user/add","","web; nested web; backend.auth; CSRF globally exempt","administrator","BackendUserController@add","redirect or Blade backend.user.form on duplicate","backend.user.form","users","users","new backend admin account","none","admin_user_mutation","high","No request validation; duplicate check logic weak"
"W079","routes/web.php","477","GET","/backend/user/edit/{id}","","web; nested web; backend.auth","administrator","BackendUserController@detail","Blade backend.user.form","backend.layouts.layout; backend includes","users","none","none","none","route_page_admin","high","Edit mode"
"W080","routes/web.php","478","POST","/backend/user/edit","","web; nested web; backend.auth; CSRF globally exempt","administrator","BackendUserController@edit","redirect","none","users","users including optional password","admin account attributes/password change","none","admin_user_mutation","high","No validation/audit"
"W081","routes/web.php","479","GET","/backend/user/delete/{id}","","web; nested web; backend.auth","administrator","BackendUserController@delete","redirect","none","users","users.is_deleted/updated_date","active admin to soft deleted","none","admin_user_mutation_get","high","Can target self; no last-admin protection"
"W082","routes/web.php","481","GET","/backend/parole","","web; nested web; backend.auth","administrator","BackendUserParoleController@index","Blade backend.parole.index","backend.layouts.layout; backend includes","users backend/admin rows","none","none","none","route_page_admin_miswired","high","No parole model; lists admin accounts"
"W083","routes/web.php","482","GET","/backend/parole/detail/{id}","","web; nested web; backend.auth","administrator","BackendUserParoleController@detail","Blade backend.parole.detail","backend.layouts.layout; backend includes","users","none","none","none","route_page_admin_miswired","high","Displays admin record including password hash field"
"W084","routes/web.php","484","GET","/backend/checkin-course","","web; nested web; backend.auth","administrator/check-in manager","BackendCheckinController@index","Blade backend.checkin.course","backend.layouts.layout-nosidebar; footer","course; center; course_type; tutor_type","none","none","links to check-in form","route_page_admin","high","Course list and counters"
"W085","routes/web.php","486","GET","/backend/summary","","web; nested web; backend.auth","administrator","BackendSummaryController@index","Blade backend.summary.index","backend.layouts.layout","none","none","none","none","route_page_admin_placeholder","high","Placeholder title only"
"W086","routes/web.php","487","GET","/backend/report","","web; nested web; backend.auth","administrator/report user","BackendReportController@index","Blade backend.report.apply-course","backend report.table; backend layout/includes","apply_course/Apply; users/contact; course; course_type; center; teacher; checkins; question/group/choice/answer; training_history_info; custom periods","none","none","none","route_page_report","high","Eight applicant groups; many N+1 reads"
"W087","routes/web.php","488","GET","/backend/export","","web; nested web; backend.auth","administrator/report user","BackendExportController@index","streamed eight-sheet XLSX","none","course; center; course_type; teacher; apply_course; users/contact; checkins; question answers/choices; training_history_info","none","none","PHPExcel eight-sheet applicant workbook","export","high","Independent mapping/status semantics from W086"
"W088","routes/web.php","489","GET","/backend/report/teacher/{course_code?}","","web; nested web; backend.auth","administrator/teacher reviewer","BackendReportController@teacher","Blade backend.report.teacher","backend report partial new/old/staff tables; layout-nosidebar","course; center; course_type; tutor_type; apply_course; users; contact; prefixes; trainee_type; training_history_info; helper-derived counts","none","none","none","route_page_report","high","Five groups; new/old status membership differs"
"W089","routes/web.php","490","GET","/backend/report/teacher/application/{apply_id}","","web; nested web; backend.auth","administrator/teacher reviewer","BackendReportController@teacherApplication","JSON with rendered backend.report.teacher-application-modal HTML","teacher-application-modal","apply_course; users/contact; course; related applications; training_history_info; teacher; center; questions/choices; custom periods; checkins","none","none","none","report_fragment_api","high","Explicit helper rejects unauthorized/not found"
"W090","routes/web.php","491","POST","/backend/report/teacher/print","","web; nested web; backend.auth; CSRF globally exempt","administrator/teacher reviewer","BackendReportController@teacherPrint","Blade backend.report.teacher-print","print helper","course; apply_course; users/contact; custom_period_times; teacher; checkins; training_history_info; center; questions/choices; related applications","none","none","printable multi-page participant sheets","print","high","Validates 1-10 IDs and same course"
"W091","routes/web.php","492","GET","/backend/logout","","web; nested web; backend.auth","administrator","AdminController@logout","redirect backend login","none","session/auth","logout and session flush","authenticated admin to signed out","none","auth_mutation_get","high","State-changing GET"
"W092","routes/web.php","497","GET","/backend/login","backend-login","web; nested web","public","AdminController@login","Blade backend.auth.login","none","none","none","none","none","route_page_auth","high","Backend sign-in form posts W098"
"W093","routes/web.php","498","GET","/backend/checkin-staff-login","","web; nested web","public external check-in operator","ExternalCheckinAuthController@showLogin","Blade backend.auth.checkin-staff-login","none","none","none","none","none","route_page_auth","high","Course code is username"
